word,phoneme,en_short,vi,hint_level
constructor,/kənˈstɹəktɝ/,one who builds things,构造函数,1
consul,/ˈkɑnsəɫ/,one of two elected leaders,领事,4
consulate,/ˈkɑnsəɫət/,where a foreign official lives,领事馆,4
consultancy,/kənˈsəɫtənsi/,a company that gives advice,咨询服务,3
consultant,/kənˈsəɫtənt/,an expert doctor,顾问,4
consultation,/ˌkɑnsəɫˈteɪʃən/,act of looking for information,咨询,3
consumerism,/kənˈsumɝˌɪzəm/,the actions of people spending,消费主义,1
the consumer price index,,a list of price variations,消费者价格指数,1
consummation,/ˌkɑnsəˈmeɪʃən/,the act of completing,圆满,1
consumption,"/kənˈsəmpʃən/, /kənˈsəmʃən/",the act of eating or drinking,消耗,3
consumptive,,a person who has tuberculosis,消耗性的,1
contagion,/kənˈteɪdʒən/,the spread of a disease,传染,1
container,/kənˈteɪnɝ/,an object that holds things,容器,5
containment,/kənˈteɪnmənt/,act of limiting spread,遏制,4
contaminant,/kənˈtæmənənt/,a thing that ruins something,污染物,1
contamination,/kənˌtæməˈneɪʃən/,the act of harming,污染,4
contemplation,/ˌkɑntəmˈpɫeɪʃən/,the act of thinking deeply,沉思,4
contemporary,/kənˈtɛmpɝˌɛɹi/,one living when another did,当代的,5
contempt,/kənˈtɛmpt/,lack of respect for something,鄙视,4
contender,/kənˈtɛndɝ/,one who has a chance to win,竞争者,3
contention,/kənˈtɛnʃən/,something that is argued,争论,4
contentiousness,/kənˈtɛnʃəsnəs/,a tendency to want to fight,争议性,1
contentment,/kənˈtɛntmənt/,the state of being satisfied,满意,2
contestant,/kənˈtɛstənt/,a participant in a competition,选手,4
context,/ˈkɑntɛkst/,conditions around an event,语境,5
contiguity,,quality of being very near,邻近性,1
continent,/ˈkɑntənənt/,a large division of land,大陆,5
continence,,control over waste production,失禁,1
continental,"/ˌkɑntəˈnɛnəɫ/, /ˌkɑntəˈnɛntəɫ/",relating to some countries of Europe,欧陆式,4
continental breakfast,,a type of light breakfast,欧陆式早餐,1
contingency,/kənˈtɪndʒənsi/,something that might happen,意外事件,3
contingent,/kənˈtɪndʒənt/,subject to chance,队伍,4
continuance,/kənˈtɪnjuəns/,the state of not stopping,继续,2
continuation,/kənˌtɪnjuˈeɪʃən/,the act of beginning again,延续,4
continuity,/ˌkɑntəˈnuəti/,structure of parts of a story,连续性,4
continuum,/kənˈtɪnjuəm/,a series of different things,连续体,3
contortion,/kənˈtɔɹʃən/,a difficult action,扭曲,1
contortionist,/kənˈtɔɹʃənəst/,one who twists the body,柔术演员,2
contour,/ˈkɑnˌtʊɹ/,outline of something,轮廓,1
contraband,/ˈkɑntɹəˌbænd/,things imported illegally,违禁品,2
contrabass,,a large musical instrument,低音提琴,1
contraception,/ˌkɑntɹəˈsɛpʃən/,acts to prevent pregnancy,避孕,3
contraceptive,/ˌkɑntɹəˈsɛptɪv/,a drug to prevent pregnancy,避孕药具,1
contraction,/kənˈtɹækʃən/,movement making a muscle tight,收缩,4
contractor,/ˈkɑnˌtɹæktɝ/,one who is hired for a job,承包商,4
contradiction,/ˌkɑntɹəˈdɪkʃən/,conflict between two ideas,矛盾,4
contrail,,a trial of ice left by a plane,轨迹,1
contraindication,,a medical reason,禁忌症,1
contralto,,a kind of female singer,女低音,1
contraption,/kənˈtɹæpʃən/,a machine that appears strange,装置,2
contrarian,/ˌkɑnˈtɹɛɹiən/,one who takes an opposing view,逆向思维,1
contrariness,/ˈkɑntɹɛɹinəs/,a difficult and strange nature,矛盾性,1
contravention,/ˌkɑntɹəˈvɛntʃən/,state of coming into conflict,违反,3
contretemps,/ˈkɑntɹəˌtɛmps/,a minor event or argument,意外事件,1
contributor,/kənˈtɹɪbjətɝ/,one who gives money,贡献者,4
con trick,,a dishonest trick to get someone's money,骗局,1
contrition,/kənˈtɹɪʃən/,a state of feeling sorry,忏悔,1
contrivance,/kənˈtɹaɪvəns/,action in a story not believed,发明,1
controller,/kənˈtɹoʊɫɝ/,one who directs activity,控制器,3
controversy,/ˈkɑntɹəˌvɝsi/,an argument involving many,争议,4
contusion,/kənˈtuʒən/,an injury with no damage,挫伤,2
conundrum,/kəˈnəndɹəm/,a difficult problem,难题,1
conurbation,,an area full of cities,都市圈,1
convalescence,/ˌkɑnvəˈɫɛsəns/,process of becoming well again,恢复期,1
convection,/kənˈvɛkʃən/,a process of heat transfer,对流,1
convection oven,,a type of cooking device,对流恒温烤箱,1
convenience,/kənˈvinjəns/,a quality that gives comfort,方便,4
convent,"/ˈkɑnˌvɛnt/, /ˈkɑnvənt/",a building for religious women,修道院,3
convention,/kənˈvɛnʃən/,a traditional style,习俗,4
conventionality,,state of keeping to rules,约定俗成,1
conventioneer,/kənˌvɛnʃəˈnɪɹ/,one who goes to large meeting,会议代表,1
convergence,/kənˈvɝdʒəns/,an area of a similar thing,收敛,4
conversationalist,/ˌkɑnvɝˈseɪʃənəɫəst/,one who likes to talk,健谈者,2
conversion,/kənˈvɝʒən/,the act of changing a form,转换,3
converter,/kənˈvɝtɝ/,device that converts something,转换器,1
convertibility,/ˌkɑnvɝtɪˈbɪɫɪti/,state of being able to change,可兑换性,1
convertible,/kənˈvɝtəbəɫ/,able to be changed,敞篷车,3
convexity,,the state of being curved out,凸性,1
conveyance,/kənˈveɪəns/,act of making something known,输送,3
conveyancing,,act of helping to change owners,产权转让,3
conveyor,/kənˈveɪɝ/,one that communicates,输送带,2
convict,"/ˈkɑnvɪkt/, /kənˈvɪkt/",one sent to jail for a crime,定罪,2
conviction,/kənˈvɪkʃən/,the act of being proved guilty,定罪,4
conviviality,,a friendly nature,欢乐,1
convocation,/ˌkɑnvəˈkeɪʃən/,act of inviting for a meeting,召集,1
convolution,/ˈkɑnvəˌɫuʃən/,a twist or curve,卷积,1
convoy,/ˈkɑnˌvɔɪ/,to travel with and protect,护航,4
convulsion,/kənˈvəɫʃən/,violent shaking of muscles,抽搐,1
cookbook,/ˈkʊkˌbʊk/,a book with food directions,食谱,2
cooker,/ˈkʊkɝ/,a piece of kitchen equipment,炊具,5
cookery,,the art of cooking,烹饪,3
cookie,/ˈkʊki/,a person,曲奇饼,2
that's the way the cookie crumbles,,to say one must accept things,这就是饼干破碎的方式,1
cookout,/ˈkʊˌkaʊt/,an outside meal or party,野餐,1
cookstove,,a device used for cooking,炉灶,1
cooktop,,equipment to make food,灶台,1
cookware,/ˈkʊˌkwɛɹ/,vessels used to make food,炊具,1
coolness,/ˈkuɫnəs/,a lack of interest,凉爽,2
coolant,/ˈkuɫənt/,liquid used to cool an engine,冷却剂,2
cooler,/ˈkuɫɝ/,a prison or jail,冷却器,3
coolie,,rude word for an Asian worker,苦力,1
coonskin,,skin and hair of an animal,浣熊皮,1
coop,/ˈkup/,a small building for animals,鸡舍,2
cooper,/ˈkupɝ/,one who makes wooden items,库珀,2
cooperativeness,,quality of working together,合作性,1
cooperative,/koʊˈɑpɝˌeɪtɪv/,business operated by its members,合作社,3
coordinate,"/koʊˈɔɹdəˌneɪt/, /koʊˈɔɹdənət/",numbers used to locate a point,协调,2
coordination,/koʊˌɔɹdəˈneɪʃən/,process of organizing,协调,3
coordinator,/koʊˈɔɹdəˌneɪtɝ/,one who organizes something,协调员,3
coot,/ˈkut/,a type of black and gray bird,笨人,2
cootie,,small insect in people's hair,虱,1
cop,/ˈkɑp/,police officer,警察,3
it's a fair cop,,to admit that you got caught for a mistake,这是一个公平的警察,1
co-payment,,fee paid to doctor by one who has health insurance,共同付款,1
cope,/ˈkoʊp/,to deal with problems,应付,3
copier,/ˈkɑpiɝ/,a machine to make paper copies,复印机,2
copilot,/ˈkoʊpaɪɫət/,pilot who helps the main pilot,副驾驶,2
coping,/ˈkoʊpɪŋ/,the top layer of a stone wall,应对,3
copper,/ˈkɑpɝ/,a police officer,铜,3
copperhead,/ˈkɑpɝˌhɛd/,a type of snake,铜斑蛇,2
coppice,,a group of small trees,矮林,1
copse,,a group of small trees,矮林,1
copter,,helicopter,直升机,2
copula,,a grammar term,系词,1
copulation,,sexual activity,交配,1
copycat,/ˈkɑpiˌkæt/,one who acts as another,山寨,2
copyist,,one who made copies by hand,抄写员,1
copyright,/ˈkɑpiˌɹaɪt/,a legal right to copy and sell,版权,3
copywriter,/ˈkɑpiˌɹaɪtɝ/,one who writes words for ads,撰稿人,1
coquetry,,playful sexual behavior,撒娇,1
coquette,,a woman who flirts,风骚的,1
coracle,/ˈkɔɹəkəɫ/,a small round boat,小船,1
coral,/ˈkɔɹəɫ/,an orange pink color,珊瑚,4
cord,/ˈkɔɹd/,an amount of wood,绳索,4
cordage,/ˈkɔɹdədʒ/,long pieces of material,绳索,1
cordiality,,a friendly relation,亲切,4
cordial,/ˈkɔɹdʒəɫ/,a sweet alcoholic drink,亲切,4
cordon,/ˈkɔɹdən/,a line used to separate,警戒线,2
corduroy,/ˈkɔɹdɝˌɔɪ/,a strong cotton cloth,灯心绒,2
cordwood,,a pile of wood used for fires,绳木,1
core,/ˈkɔɹ/,the central part of a fruit,核,5
corer,,device for removing the center,取芯器,1
coriander,/ˌkɔɹiˈændɝ/,leaves of a plant,香菜,2
cork,/ˈkɔɹk/,material to close a bottle,软木,4
put a cork in it,,stop talking and complaining,把软木塞放进去,1
corker,/ˈkɔɹkɝ/,excellent,软木塞,2
corkscrew,/ˈkɔɹksˌkɹu/,a tool used to open bottles,开瓶器,2
cormorant,/ˈkɔɹmɝənt/,a type of bird,鸬鹚,1
corn,/ˈkɔɹn/,a plant that gives yellow seeds,玉米,4
corncob,/ˈkɔɹnˌkɑb/,hard center of a type of plant,玉米芯,1
cornea,/ˈkɔɹniə/,outer covering of the eyeball,角膜,1
have/get a corner on,,to have to control the price,有/得到一个角落,1
(just) around the corner,,coming very soon,（就在拐角处,1
cornerstone,/ˈkɔɹnɝˌstoʊn/,stone at a building's corner,基石,4
cornet,/kɔɹˈnɛt/,cone filled for ice cream,短号,1
cornfield,/ˈkɔɹnˌfiɫd/,a field where corn grows,玉米地,2
cornflakes,,a breakfast food,玉米片,2
cornflower,/ˈkɔɹnˌfɫaʊɝ/,a wild plant with blue flowers,矢车菊,1
cornice,,a fancy top edge of a wall,檐口,1
Cornish pasty,,a type of small food item,康沃尔馅饼,1
cornmeal,/ˈkɔɹnˌmiɫ/,food used for bread,棒子面,1
cornrows,,a kind of hair style,玉米行,1
cornstalk,/ˈkɔɹnˌstɔk/,long stem of a corn plant,玉米杆,1
cornstarch,/ˈkɔɹnˌstɑɹtʃ/,a substance used in cooking,玉米淀粉,1
cornucopia,/ˌkɔɹnəˈkoʊpiə/,a container shaped like a horn,聚宝盆,2
corollary,/ˈkɔɹəˌɫɛɹi/,a thing that follows another,推论,3
corona,/kɝˈoʊnə/,a bright circle around the sun,电晕,2
coronary,/ˈkɔɹəˌnɛɹi/,a bad heart condition,冠状动脉,3
coronation,/ˌkɔɹəˈneɪʃən/,a ceremony with a crown,加冕,3
coroner,/ˈkɔɹənɝ/,one who finds a cause of death,验尸官,3
coronet,/ˈkɔɹəˈnɛt/,a small fancy hat,冠,1
corporal,"/ˈkɔɹpɝəɫ/, /ˈkɔɹpɹəɫ/",an officer in the army,下士,4
corps,"/ˈkɔɹ/, /ˈkɔɹz/",army unit with many divisions,兵团,4
corpse,/ˈkɔɹps/,a dead body,尸体,4
corpulence,,property of being very fat,肥胖,1
corpus,/ˈkɔɹpəs/,collection of written text,语料库,1
corpuscle,,one of the cells in the body,血球,1
corral,/kɝˈæɫ/,to gather and place cows,畜栏,2
correctness,/kɝˈɛktnəs/,the quality of being true,正确性,1
correction,/kɝˈɛkʃən/,act of making a thing better,更正,4
corrective,/kɝˈɛktɪv/,meant to fix a problem,矫正的,4
correlate,"/ˈkɔɹəˌɫeɪt/, /ˈkɔɹəɫət/",to show a close connection,关联,4
correlation,/ˌkɔɹəˈɫeɪʃən/,a mutual relationship,相关性,4
correspondence,/ˌkɔɹəˈspɑndəns/,the fact of being similar,一致,4
correspondent,/ˌkɔɹəˈspɑndənt/,one who writes to another,记者,4
corridor,"/ˈkɔɹədɝ/, /ˈkɔɹɪdɝ/",a long narrow piece of land,走廊,4
corroboration,/kɝˌɔbɝˈeɪʃən/,evidence,佐证,2
corrosion,/kɝˈoʊʒən/,destruction by chemical action,腐蚀,4
corruptibility,,able to be made dishonest,腐败性,1
corruptness,,a lack of being honest,腐败,1
corruption,/kɝˈəpʃən/,act of making one bad,腐败,4
corsage,/kɔɹˈsɑʒ/,a flower or group of flowers,胸花,2
corsair,/ˈkɔɹsɛɹ/,one who attacks ships at sea,海盗,1
corset,/ˈkɔɹsət/,underwear to shape the figure,紧身胸衣,2
cortege,/kɔɹˈtɛʒ/,a line of people or cars,送行,1
cortex,/ˈkɔɹtɛks/,outside layer of a body part,皮质,2
cortisone,/ˈkɔɹtəˌzoʊn/,drug used to treat diseases,可的松,1
cosh,,to hit with a heavy stick,科什,1
cosignatory,,one who signs with another,联署人,1
cosigner,,one who signs with another,共同签署人,1
cosine,,a geometry term,余弦,1
cosmetic,/kɑzˈmɛtɪk/,being used to look better,化妆品,4
cosmetologist,,an expert in beauty treatments,美容师,1
cosmetology,/ˌkɑzməˈtɑɫədʒi/,job of giving beauty treatment,美容,1
cosmology,/kɔzˈmɔɫədʒi/,the study of the universe,宇宙学,2
cosmologist,,a scientist of space and time,宇宙学家,1
cosmonaut,/ˈkɔzməˌnɔt/,one who travels into space,宇航员,1
cosmopolitan,/ˌkɑzməˈpɑɫətən/,one who has traveled much,大都会,4
cosmos,/ˈkɑzmoʊs/,the universe,宇宙,4
costar,/ˈkoʊstɑɹ/,one of the main actors,配角,1
costermonger,,one who sells food outside,小贩,1
costliness,,an expensive quality,昂贵,1
costume,"/ˈkɑstum/, /kɑˈstum/",involving special clothes,戏服,5
costumer,/ˈkɑstumɝ/,one who makes fun clothing,顾客,1
costumier,,one who makes and sells clothes,服装师,1
cot,/ˈkɑt/,a narrow bed,婴儿床,3
coterie,/ˈkoʊtɝi/,a group with shared interests,小圈子,1
cotillion,,a large formal dance party,舞会,2
cottage,"/ˈkɑtədʒ/, /ˈkɑtɪdʒ/",a small house,小屋,5
cottager,,one who lives in a small house,佃农,1
cotton,"/ˈkɑtən/, /ˈkɔtən/",light clothing made of plants,棉布,5
cottonmouth,/ˈkɑtənˌmaʊθ/,a type of snake,棉口,1
cottonmouth moccasin,,a kind of snake,棉口软皮鞋,1
cottontail,,a type of small animal,棉尾,1
cottonwood,/ˈkɑtənˌwʊd/,a kind of tree,白杨,1
cotton wool ball,,a small ball of cotton,棉球,1
couch,/ˈkaʊtʃ/,to say in particular way,长椅,4
cougar,/ˈkuɡɝ/,a large brown cat,美洲狮,2
coulis,,a thick sauce,库利斯,1
council,/ˈkaʊnsəɫ/,relating to a group,理事会,5
councillor,,a member of a group,议员,3
councilman,/ˈkaʊnsəɫmən/,a member of a group,议员,1
councilwoman,/ˈkaʊnsəɫˌwʊmən/,a member of a group,女议员,1
counsel,/ˈkaʊnsəɫ/,to suggest,法律顾问,4
counseling,"/ˈkaʊnsəɫɪŋ/, /ˈkaʊnsɫɪŋ/",advice and support,辅导,2
counselor,/ˈkaʊnsəɫɝ/,a lawyer,顾问,2
down for the count,,knocked down,倒数,1
countdown,/ˈkaʊntˌdaʊn/,time before a special event,倒数,4
countenance,/ˈkaʊntənəns/,one's expression,面容,2
counterattack,/ˈkaʊntɝəˌtæk/,attack made in return,反击,2
counterculture,"/ˈkaʊnɝˌkəɫtʃɝ/, /ˈkaʊntɝˌkəɫtʃɝ/",a group in opposition,反主流文化,1
counterespionage,/ˌkaʊntɝˈɛspiənɑdʒ/,the act of preventing spying,反间谍活动,1
counterfeiter,/ˈkaʊntɝˌfɪtɝ/,one who makes illegal copies,造假者,1
counterfeit,/ˈkaʊntɝˌfɪt/,to make a copy to cheat people,伪造,4
counterfoil,,part that is kept as a record,存根,1
counterinsurgency,/ˌkaʊntɝɪnˈsɝdʒənsi/,action against govt enemies,反叛乱,1
counterintelligence,/ˌkaʊntɝɪnˈtɛɫɪdʒəns/,activity meant to hide secrets,反情报,1
countermeasure,/ˈkaʊntɝˌmɛʒɝ/,an action to stop danger,对策,1
counteroffensive,/ˌkaʊntɝɔˈfɛnsɪv/,an attack made to defend,反攻,1
counteroffer,/ˈkaʊntɝˌɔfɝ/,an offer made in return,还价,2
counterpart,/ˈkaʊntɝˌpɑɹt/,someone with the same purpose,对方,4
counterpoint,/ˈkaʊntɝˌpɔɪnt/,to contrast things,对位法,1
counterrevolution,/ˌkaʊntɝɹɛvəˈɫuʃən/,opposition to the current govt,反革命,1
counterrevolutionary,/ˌkaʊntɝɹɛvəˈɫuʃəˌnɛɹi/,one aiming to undo changes,反革命,1
counterterrorism,/ˈkaʊntɝˌtɛɹɝˌɪzəm/,actions against terrorists,反恐,1
countertop,/ˈkaʊntɝˌtɑp/,flat surface for working on,台面,1
counterweight,/ˈkaʊntɝˌweɪt/,a weight acting as a balance,配重,1
countess,/ˈkaʊntəs/,wife of one with a high rank,伯爵夫人,3
go to the country,,to call for a general election,去乡下,1
country dancing,,a kind of dance,乡村舞,1
countryman,/ˈkəntɹimən/,a person from one's area,乡下人,1
countryside,/ˈkəntɹiˌsaɪd/,a rural area,农村,5
countrywoman,,woman living in the country,农妇,1
county,"/ˈkaʊni/, /ˈkaʊnti/",an area larger than a city,县,5
coup,/ˈku/,a sudden and violent take over,政变,4
coupe,/ˈkup/,a car with two doors,轿跑车,2
coupler,/ˈkəpɫɝ/,a connecting device,耦合器,1
couplet,,a unit of two lines of poetry,对联,1
coupon,"/ˈkjuˌpɔn/, /ˈkuˌpɔn/",a slip that gives a discount,优惠券,4
courage,"/ˈkɝədʒ/, /ˈkɝɪdʒ/",bravery,勇气,5
courageousness,,a daring quality of spirit,勇气,1
courgette,,a type of a vegetable,西葫芦,1
courier,/ˈkɝiɝ/,use a service to send a thing,导游,2
the court of public/world opinion,,beliefs of most people,公众/世界舆论法庭,1
courtesan,,girl who has sex with rich men,妓女,1
courtesy,/ˈkɝtəsi/,good manners,礼貌,4
courthouse,/ˈkɔɹtˌhaʊs/,a building for legal hearings,法院大楼,2
courtier,/ˈkɔɹtiɝ/,a member of a royal court,朝臣,1
courtliness,,quality implying a royal court,礼让,1
courtroom,/ˈkɔɹˌtɹum/,room for hearing legal cases,法庭,2
courtship,/ˈkɔɹˌtʃɪp/,romantic acts before marriage,求爱,3
courtside,,the area near a game,场边,2
courtyard,/ˈkɔɹtˌjɑɹd/,open space surrounded by walls,庭院,4
couscous,,a North African food,库斯库斯,1
couture,/kuˈtʊɹ/,expensive clothes,时装,2
couturier,/kuˈtʊɹiɝ/,one who makes women's clothing,女装设计师,1
cove,/ˈkoʊv/,a man,海湾,3
coven,"/ˈkəvən/, /ˈkoʊvən/",a group of witches,女巫集会,2
covenant,/ˈkəvənənt/,a formal and serious agreement,盟约,3
coverall,/ˈkəvɝˌɔɫ/,clothing worn over other clothes,工作服,1
coverlet,,pretty top layer for a bed,床单,1
covertness,,the state of being hidden,隐蔽性,1
covetousness,,an extreme desire for wealth,贪婪,1
covey,/ˈkəvi/,a small group of birds,科维,1
till/until the cows come home,,for a very long time,直到/直到奶牛回家,1
coward,/ˈkaʊɝd/,one who shows fear,懦夫,4
cowardice,/ˈkaʊɝdəs/,fear making one unable to act,怯懦,4
cowardliness,,quality of not being daring,胆怯,1
cowbell,/ˈkaʊˌbɛɫ/,bell hung around a cow's neck,牛铃,1
cowbird,,a bird found in North America,牛鸟,1
cowboy,/ˈkaʊˌbɔɪ/,to work tending cows or horses,牛仔,4
cowgirl,/ˈkaʊˌɡɝɫ/,woman who tends cows or horses,女牛仔,2
cowhand,,one who looks after cows,牧童,1
cowherd,/ˈkaʊˌhɝd/,one who take care of cows,牛仔,1
cowhide,,the skin of a cow,牛皮,1
cowl,/ˈkaʊɫ/,metal cover for a plane's engine,罩,1
cowlick,/ˈkaʊɫɪk/,hair that will not lie flat,考利克,1
cowling,/ˈkaʊɫɪŋ/,metal covering of an engine,整流罩,1
coworker,/ˈkoʊˈwɝkɝ/,a fellow worker,同事,2
cowpat,,a piece of waste from a cow,牛帕特,1
cowpea,,a type of vegetable,豇豆,1
cowpoke,,one who takes care of cows,牧童,1
cowpuncher,,old-fashioned and informal,打牛人,1
cowrie,,a small sea animal,贝,1
cowshed,,building where cows are kept,牛棚,1
cowslip,/ˈkaʊsɫɪp/,a wild plant,牛脚草,1
cox,/ˈkɑks/,one who guides a boat in races,考克斯,2
coxswain,,one who is in charge of a boat,船长,1
coyness,,quality of being reserved,羞怯,1
coyote,"/ˈkaɪoʊt/, /kaɪˈoʊti/",a wild animal related to dogs,土狼,2
coziness,/ˈkoʊzinəs/,a warm comfortable state,舒适感,1
cosiness,,a warm comfortable state,安逸,1
cozy,/ˈkoʊzi/,a cover to keep tea hot,舒适,4
CPR,,emergency life saving method,心肺复苏,1
CPU,/ˌsiˌpiˈju/,central processing unit,中央处理器,3
crab,/ˈkɹæb/,to complain in an annoying way,螃蟹,4
crabgrass,,a thick type of grass,马唐草,2
crabmeat,/ˈkɹæbˌmit/,meat from a sea creature,蟹肉,1
a fair crack of the whip,,the same chance as others,鞭子一响,1
at the crack of dawn,,very early in the morning,在破晓时分,1
fall through/between the cracks,,to fail to be noticed,掉进裂缝/裂缝之间,1
crackdown,/ˈkɹækˌdaʊn/,an effort to impose a law,镇压,4
cracker,/ˈkɹækɝ/,paper tube that holds gifts,饼干,4
crackhead,/ˈkɹækˌhɛd/,one who smokes an illegal drug,瘾君子,1
crackling,/ˈkɹækɫɪŋ/,a series of short noises,噼啪作响,2
crackpot,/ˈkɹækˌpɑt/,one who is crazy,疯子,2
cradle,/ˈkɹeɪdəɫ/,to hold gently,摇篮,4
bouncy,/ˈbaʊnsi/,quickly returning to a full shape,有弹性的,2
I'll be bound,,used to stress confidence,我会被束缚,1
boundless,/ˈbaʊndɫəs/,not limited in any way,无边无际,1
bounteous,,providing many desired things,慷慨的,1
bountiful,"/ˈbaʊnɪfəɫ/, /ˈbaʊntɪfəɫ/",providing many desired things,丰富,1
bourgeois,"/ˈbʊɹʒwɑ/, /bʊɹʒˈwɑ/",relating to the middle class,资产阶级的,3
bovine,/ˈboʊˌvaɪn/,looking or acting like a cow,牛,1
bowlegged,,having legs that curve out,罗圈腿,1
boyish,/ˈbɔɪɪʃ/,being like a young boy,孩子气的,1
bracing,/ˈbɹeɪsɪŋ/,pleasantly cool,支撑,2
brackish,/ˈbɹækɪʃ/,with a little salt,微咸的,1
braided,/ˈbɹeɪdɪd/,woven from three or more parts,编织的,2
brainless,/ˈbɹeɪnɫɪs/,very stupid or silly,无脑的,1
brainy,/ˈbɹeɪni/,very smart,聪明的,1
braised,/ˈbɹeɪzd/,being cooked a certain way,炖,1
brash,/ˈbɹæʃ/,confident and aggressive,傲慢,2
brassy,/ˈbɹæsi/,having a loud sound,黄铜色的,1
bratty,,being difficult to control,顽皮的,1
brawny,/ˈbɹɔni/,possessing physical strength,壮汉,1
brazen,/ˈbɹeɪzən/,done in a shocking way,厚颜无耻,2
breakable,/ˈbɹeɪkəbəɫ/,being possible to ruin,易碎的,2
breakaway,/ˈbɹeɪkəˌweɪ/,having become separate,摆脱,1
breakneck,/ˈbɹeɪkˌnɛk/,very fast,危险的,1
breathless,/ˈbɹɛθɫəs/,full of activity,气喘吁吁,3
breathtaking,/ˈbɹɛθˌteɪkɪŋ/,very great or surprising,惊险,3
breathy,/ˈbɹɛθi/,spoken with a breathing sound,有呼吸的,1
breezy,/ˈbɹizi/,showing no concern,微风徐徐,2
bridal,/ˈbɹaɪdəɫ/,of a wedding,新娘,2
bright-eyed and bushy-tailed,,happy and full of energy,亮眼浓尾,1
on the bright side,,used to refer to the good part,光明的一面,1
brill,/ˈbɹɪɫ/,brilliant,布里尔,2
brimful,,being filled to the top,满溢的,1
brindled,,having faded dark spots,有斑纹的,1
briny,,filled with salt,咸水,1
brisk,/ˈbɹɪsk/,done with energy,轻快,4
bristly,,very easily angered,刚毛的,1
British,/ˈbɹɪtɪʃ/,relating to Great Britain,英国人,3
brittle,/ˈbɹɪtəɫ/,sharp in sound,脆,3
brocaded,,having a kind of decoration,织锦的,1
"if it ain't broke, don't fix it",,one should not fix what works,如果它没有坏，就不要修理它,1
brokenhearted,,filled with great sadness,心碎了,2
bronchial,/ˈbɹɑntʃiəɫ/,relating to breathing tubes,支气管,2
bronzed,/ˈbɹɑnzd/,coated with a material,古铜色的,2
brooding,/ˈbɹudɪŋ/,very serious and sad,沉思,3
broody,/ˈbɹudi/,ready to lay and sit on eggs,布鲁迪,2
brotherly,/ˈbɹəðɝɫi/,showing love,兄弟般的,2
brownish,/ˈbɹaʊnɪʃ/,of the color of earth or wood,呈褐色的,1
bruising,/ˈbɹuzɪŋ/,extremely rough,瘀血,2
brunet,/bɹuˈnɛt/,marked by dark hair or skin,布鲁内特,1
brusque,/ˈbɹəsk/,talking in a very direct way,粗暴,1
brutal,/ˈbɹutəɫ/,extremely cruel or harsh,野蛮,4
brutish,/ˈbɹutɪʃ/,mean and violent and stupid,野蛮的,1
bucolic,/bjuˈkɑɫɪk/,relating to the country,田园风光的,1
budding,/ˈbədɪŋ/,beginning to develop,萌芽的,3
budgetary,/ˈbədʒɪˌtɛɹi/,related to a budget,预算的,4
bulbous,/ˈbəɫbəs/,big and round,球状的,2
bulging,/ˈbəɫdʒɪŋ/,curving outward,鼓胀的,2
bulky,/ˈbəɫki/,large and fat,笨重,4
bulletproof,/ˈbʊɫətˌpɹuf/,made to resist being shot,防弹,2
bullheaded,,not willing to change an idea,公牛当家,2
bullish,/ˈbʊɫɪʃ/,confident about success,看涨,1
bumbling,"/ˈbəmbəɫɪŋ/, /ˈbəmbɫɪŋ/",lacking movement skills,笨手笨脚的,2
bumptious,,proud in a loud and rude way,自负的,1
bumpy,/ˈbəmpi/,having sudden movements,起疙瘩的,2
bungled,/ˈbəŋɡəɫd/,being ruined,搞砸了,2
bungling,"/ˈbəŋɡəɫɪŋ/, /ˈbəŋɡɫɪŋ/",lacking physical skills,笨拙的,1
buoyant,/ˈbɔɪənt/,able to cause things to float,浮力的,3
burdensome,/ˈbɝdənsəm/,causing difficulty,繁重的,1
bureaucratic,/ˌbjʊɹəˈkɹætɪk/,functioning by complex rules,官僚主义的,4
burly,/ˈbɝɫi/,strong and heavy,魁梧的,2
burnable,/ˈbɝnəbəɫ/,capable of catching fire,可燃的,1
burned out,,exhausted,烧坏,1
burnished,/ˈbɝnɪʃt/,being made smooth and bright,抛光的,1
bushed,,very tired,灌木状的,1
bushy,/ˈbʊʃi/,having many branches and leaves,浓密的,4
businesslike,/ˈbɪznɪˌsɫaɪk/,serious and practical,务实的,1
bustling,"/ˈbəsəɫɪŋ/, /ˈbəsɫɪŋ/",being full of activity,繁华,3
busty,/ˈbəsti/,having large breasts,丰满的,2
butch,/ˈbʊtʃ/,being like a man,布奇,2
butterfingered,,lacking physical skills,笨手笨脚的,1
buttery,/ˈbətɝi/,containing a thick cream,黄油味的,2
button-down,,being traditional and formal,按钮按下,1
buxom,/ˈbəksəm/,attractive with large breasts,丰满,1
buzzed,/ˈbəzd/,having a little too much to drink,嗡嗡声,2
bygone,/ˈbaɪˌɡɔn/,gone by,过去的,1
byzantine,"/ˈbɪzənˌtaɪn/, /ˈbɪzənˌtin/",very complicated to understand,拜占庭式的,3
cacophonous,,having a sound that is not nice,不和谐的,1
caddish,,being rude,粗暴,1
cadaverous,,looking very thin and pale,苍白的,1
caffeinated,/ˈkæfɪˌneɪtəd/,containing caffeine,含咖啡因的,2
caged,/ˈkeɪdʒd/,kept in a locked place,关在笼子里,2
cagey,/ˈkeɪdʒi/,not open to sharing details,谨慎的,2
calamitous,/kəˈɫæmətəs/,causing great suffering,灾难性的,2
